0,1,2,3,4,5,6,7,8,9
0.462889583,-0.074614273,0.009428151,0.797214946,-0.4792094,0.344886072,-0.33706726,0.743256887,-0.85194024,-0.619744424
0.183323929,-0.546089139,-0.134196809,-0.535195242,0.861532832,0.65075973,-0.62789623,0.192206057,-0.714940832,0.672190198
-0.444186613,-0.378493352,-0.110414072,-0.235771599,0.429307693,-0.702567084,0.459095817,0.717003072,-0.585177344,0.852907462
-0.58676087,0.904276797,0.260055625,0.585257482,-0.309422156,-0.444473511,1.111051909,-0.275849196,-0.499622377,-0.750343226
0.585335997,-0.549527699,0.045336042,-1.162196624,-0.108217691,1.127717762,0.15392694,-0.70606274,0.619639558,-0.000668373
-0.172160955,-0.548575874,0.567234937,0.54943181,0.364406208,-1.135066256,-0.717291979,-0.080667709,0.745566025,0.424275593
-1.110844564,0.266120539,-0.527370677,0.717994677,-0.338620295,1.101105743,-0.313711703,0.28757405,0.101595982,-0.185906595
0.316880783,-0.64460155,-0.519040836,-0.603020485,-0.106379675,1.33498817,0.695082791,-0.08116711,0.145921784,-0.53529165
0.646561392,-0.183420444,0.864272443,-0.426696146,-0.180491527,-0.063038572,0.919452673,-0.731692337,-0.871345469,0.031761579
0.323269458,0.274541949,0.518595638,-1.001098681,-0.081056835,-0.708226376,0.501376655,-0.234997745,1.108247609,-0.696925184
0.165204229,-0.677737598,0.355673673,0.433417233,0.586139224,0.046683336,-1.588722282,0.068550997,0.168760593,0.443153081
-0.423594214,-0.605952762,0.328046557,-0.461216292,0.665214437,-0.185916113,0.103344376,0.798395213,-0.961566101,0.742266159
-0.351016373,0.383703171,0.608743271,-0.221346848,-0.20855928,0.373633856,-0.214309302,1.033565419,-0.429297442,-0.977825649
0.255162368,-0.593993521,-1.059988545,-1.071019415,0.457021116,0.633556223,0.65299764,-0.502138215,0.374779594,0.855488371
0.279042882,-0.209207996,1.369260211,0.656420195,-0.511920829,1.056368775,-0.517995233,-0.23519027,-1.588074058,-0.301924134
-0.926483012,0.134444031,0.446087527,0.645475757,-1.004214718,0.54823207,-0.157700634,-1.071576682,0.402523319,0.972012715
0.199849886,-0.851168844,1.101762478,0.616921269,-0.345614306,0.366463861,-0.505484693,0.564778056,-0.073893838,-1.068826556
0.23401066,-0.60525755,1.084063314,-0.096526741,-1.06118853,-0.168473883,0.331009963,-0.275528884,0.572632836,-0.022324065
0.565211798,-0.376845469,0.171064456,-0.04007143,-0.317693731,-0.159869519,0.051874056,0.909559543,-0.742641996,-0.06407694
-0.905177314,0.285464628,-0.105287238,-0.947586282,0.443917841,0.599757163,0.297227921,0.249066507,0.14665812,-0.065629244
-0.054731407,-0.079239008,0.28415584,-0.188070401,1.239028524,0.386429556,0.944960997,-0.527797849,-0.692750042,-1.311281933
-0.445173083,0.179229122,0.543700449,0.969470818,-0.11877834,-0.947814192,-0.159251026,-0.117750581,0.779094904,-0.679334487
0.928971068,-0.308603651,-0.304425484,-0.490514969,-0.060169422,-0.359887543,-0.148854226,0.514025952,-0.421374052,0.651735838
0.697428717,0.289448264,0.524461794,-0.624545474,-0.668391088,-0.520550883,0.684469426,-0.389625351,0.362583684,-0.356110575
0.004222794,1.294296401,0.182827566,-0.413706805,-0.317678861,0.150534874,-0.11711148,0.094142682,-0.710472526,-0.169594559
0.616804273,0.076394726,-1.012040504,0.410006688,0.030408591,0.791387731,-0.177985843,-0.757343153,-0.02988124,0.050867065
0.772427296,-0.186251835,-0.549319463,0.752461371,-0.65780181,0.318641608,-0.188173499,0.973671064,-0.629871459,-0.601929191
-0.244776572,0.546060551,-1.009598418,0.816581022,0.160464696,-0.211156487,-0.405002284,0.511002869,-0.352197577,0.194221099
-0.015949407,1.186461665,-0.362855622,-0.348228984,-0.14486654,0.562006369,-0.023990405,-0.062646463,-0.718763597,-0.071846879
0.499751458,-0.727835807,-0.848955035,0.916953585,0.182948936,-0.012304494,-0.747453995,-0.486236347,0.40857639,0.820458863
-0.981317822,0.173819451,-0.945599525,0.260690643,0.035242254,0.872780414,-0.469631087,0.207736203,1.020314994,-0.166880271
-0.298027377,0.750216907,-0.166494154,-0.603215672,-0.683480434,0.674740812,-0.468171156,0.921263822,-0.100232931,-0.026187423
0.103438751,-0.413985394,0.145517895,0.622699547,1.032887025,-0.180261967,0.7888088,-0.321189883,-0.83361246,-0.939125938
-0.260258838,-0.423866311,-0.136236948,-0.234003239,0.986804704,0.007325319,-0.761559056,1.008158649,-0.97752401,0.7907223
0.55891638,0.019552302,0.051748155,0.175579677,-0.356762977,0.850657252,-0.068304494,-0.806546749,0.135839214,-0.559845411
0.536412832,-0.13903085,-0.176912895,0.218113999,-0.681053581,0.017421058,-0.112782822,0.810358153,0.078218072,-0.5601517
0.585633169,-0.333792324,0.489609292,-0.523321223,0.116971833,-1.308661388,0.386195118,-0.396691813,0.521731512,0.468689463
-0.372718702,0.155525254,-0.231043232,-0.549489615,0.829638595,-0.600228703,-0.869954359,0.506677299,0.926181502,0.209449231
0.400020556,-0.418988271,0.670521809,-0.541523555,0.670630637,0.090954077,0.369369951,-0.841402104,0.140232721,-0.539503649
-0.709509942,0.400475976,0.82495118,0.779959683,-0.503254714,0.269390632,-0.873403021,-0.225391552,0.482566065,-0.44594674
-0.843534288,0.412310342,0.248345059,0.639409701,-0.254931589,-0.146002905,0.599286283,-0.536247533,0.412117378,-0.533039079
-0.372115962,0.040205279,-0.186601775,-0.292510478,1.407179798,0.322947728,0.841890248,-0.459659049,-0.289971753,-1.011854699
0.161711796,0.290902642,-0.236189685,0.286260835,-1.035892853,-0.27674814,-0.379329986,-0.109574653,0.579631103,0.718885228
0.088356004,-0.062704842,-0.336284135,0.978563942,-0.270952741,-0.908558354,-0.241914808,0.49908886,-0.900043206,1.151095119
-0.398754377,0.496653893,-0.276289024,-0.014982913,-0.321674093,-0.891665308,1.103376615,0.304716852,-0.850229003,0.848025678
-0.712692852,0.288449673,-0.010538677,-0.769187543,0.456091365,-1.269916662,0.316352688,0.715077454,0.470028806,0.516543618
-0.075269853,1.353695189,-0.758710451,-0.646983606,-0.062754055,0.748288778,-0.028515582,-0.284998179,-0.474167976,0.229194199
0.83671939,0.150778829,-0.37984411,-0.464776776,-0.610527022,0.176380205,-0.200668425,1.115070095,-0.168904274,-0.450253423
-0.338045529,0.824901676,1.535769386,-0.40201572,-0.337205993,-0.353952979,-0.35758787,0.876174541,-0.830041417,-0.613278553
-0.679204685,0.413688049,-0.853088798,-0.869312903,0.559787316,0.289766184,0.504259216,-0.864521996,0.625277187,0.866944938
