,0
0,0.24656620638514928
1,0.2571292895695494
2,-0.05531916995316243
3,0.047328134210777965
4,0.0715753230104429
5,-0.7035444724978807
6,0.11726475444954511
7,0.19439811806135734
8,0.29658308524215854
9,-0.11192928555376917
10,-0.2737902191189588
11,0.0817086624443156
12,0.05083044471439306
13,0.44018255421433067
14,0.052557440083243506
15,-0.08926589023811149
16,-0.005278842890540142
17,-0.2282156511110959
18,0.21944291290195275
19,0.18177574421006865
20,0.29940857758672895
21,-0.30705948936398236
22,0.20710101438480752
23,0.08863390195897544
24,0.1452043932093038
25,0.1478625701539521
26,0.04679227112706769
27,0.024733421092190747
28,0.18344954882471903
29,-0.02214867379985252
30,-0.13875812399801668
31,0.13604426742562012
32,0.08937525085128437
33,0.17831690734251487
34,0.13585834251950638
35,0.06349508479957898
36,-0.24287276845710706
37,-0.22686992941879822
38,0.06251029734450167
39,-0.324251911006529
40,-0.3249841255048997
41,0.10140916546930882
42,-0.13041630671797677
43,0.16905211941805084
44,0.31153027731726757
45,-0.14701729685045484
46,0.09995794459792559
47,0.29120172225931407
48,-0.05920098572019473
49,-0.029005584388609666
