0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.001035978,-0.001062565,0.000127286,0.000102509,0.00142664,-0.000435127,0.001207881,0.001499801,6.88E-05,-0.000112836,0.00010279,0.000663188,-0.000988137,-0.001818276,0.005163514,0.002756501,-0.001553553,0.000159542,-0.001207021,-0.001314123,-0.000368198,0.003985741,-0.00063092,0.001320212,-0.000411363,-0.000324491,0.001969412,0.001408178,0.001556609,0.000353389,-0.000111475,0.000417037,-7.60E-05,4.64E-05,0.001002669,-0.000637223,0.000785498,-0.000225926,-0.001134621,-0.000790314,-0.001437337,0.000463679,0.00172103,-0.000651825,-0.002475044,-5.95E-05,-0.000324264,-0.001684513,-0.00030947,0.000764687
0.001571222,-0.000673849,-0.001469271,-0.000841127,-0.001128471,0.000471041,0.001023172,-0.001659232,0.000154718,-0.003253313,0.000435113,-0.001457319,-0.000352299,0.001365576,-5.45E-05,-0.000213341,0.000143488,-5.30E-05,6.31E-06,-0.00029766,0.001497851,-0.00013414,0.000335067,0.000132476,0.000832643,0.001063375,0.000564078,0.001157845,-0.000181323,-0.000475726,0.001522414,-0.001509337,0.002544792,-0.001142786,-0.000875719,0.001414722,0.000266036,0.000351556,-0.001388008,-0.002587964,-0.000914451,-3.04E-05,-0.003545201,-0.001934368,0.001178436,-0.001851381,-0.000670262,0.000126883,-7.35E-05,-0.00098072
0.000716611,0.001018913,0.000819932,-0.000489182,0.000340613,-0.000488433,-0.000892693,0.000205626,-0.00107665,0.002732519,-0.000742077,0.000718974,-0.001353339,0.001303087,-0.000901895,0.001085501,-0.000447639,-0.003113248,-0.000143313,0.000990909,-0.000882859,0.000668014,-0.000819573,0.00188388,0.001366911,-0.001565555,0.000897185,0.000457247,-0.001642993,0.00251818,6.37E-05,0.001742495,-0.000372933,0.0003425,0.000333375,-0.001198607,-0.000628157,0.002025698,0.003917771,0.00126826,-0.000376565,0.000643181,-0.000957613,-0.002117101,-0.002090262,-0.001197023,-0.001044366,0.00029106,-0.003460087,-0.000324455
2.33E-05,-0.000459244,0.000841929,0.001316212,-0.00069414,-0.001489438,0.000657754,-0.001709717,-0.001314316,-0.001696996,-0.000255329,-0.001057955,-0.001482027,-0.001787819,0.000758363,0.000294623,-0.002025272,-0.002349516,-0.000466056,0.001497188,0.00105341,0.000699602,0.001116073,0.00169046,8.85E-05,0.000527277,-0.003131101,-0.000939071,0.003067557,0.00039175,-0.00034339,-0.001151859,0.001164788,-0.001610786,-0.000535674,-0.001293992,-0.000176174,-6.30E-05,0.001963238,-0.001832621,0.000227568,-0.001750002,0.000408074,0.001441216,0.000220644,-0.000617198,-0.001150678,-1.78E-05,0.000319749,-0.000591661
-0.001616361,0.00102698,-0.001444334,0.000588691,0.000152731,-0.001035934,0.000802886,-0.000544351,0.000137284,0.000193065,0.000839868,-0.000898918,0.001853627,0.000516857,-0.001241539,0.000354616,0.000573936,-0.002827094,-0.001017799,-0.001347517,0.00155882,9.48E-05,0.001054617,0.001438114,-0.00055486,0.001607005,0.000898971,-0.002255149,0.001455888,0.000644427,0.000111157,5.16E-05,-0.000270783,-0.000111966,-0.001108679,-0.001129668,-0.001202698,0.001203893,-0.000127719,0.00144878,-0.000483836,-0.001323308,-0.00093278,0.000605904,-0.002106338,-0.000689095,0.001409317,-0.000716077,-0.001639213,-0.000352638
0.000320948,0.000429496,0.003390843,-3.46E-06,0.001304651,0.001846314,-0.000202359,-0.000311541,-0.002736846,0.000736631,0.001628721,-0.000444548,0.000437529,-0.001653625,-0.003053082,0.000814663,0.00071895,0.0003361,-0.000233065,-0.002033871,0.000256031,-0.002028006,0.00105123,0.000459293,0.000677713,-0.000342512,-0.000518796,0.000205323,0.001856702,0.001014117,-0.000380414,-0.000329058,0.001647324,-0.000821722,0.000145549,0.001142078,0.000664599,2.51E-05,0.00293736,-0.000495596,0.001168199,-0.002942776,0.002269632,1.68E-05,0.001695205,0.001478495,-0.001170548,-0.003676314,0.000929209,-0.000973657
-1.90E-05,-0.000392361,-0.000378317,-4.97E-05,-0.001458433,-0.000257538,9.16E-05,0.000514242,-0.00080192,-5.20E-06,-0.002556584,0.001394815,0.002845892,0.001196008,0.00175529,0.002070182,-0.001869354,-0.000845364,0.001568192,-0.000468092,0.000896509,0.002864799,0.002140117,-0.001825631,0.001204703,0.000729048,0.001766704,-0.001284135,-0.001386018,0.00039904,0.00089957,0.000409771,-0.000668134,-0.000509091,-0.000616824,-0.000883568,0.000370724,-0.001512668,-0.000401602,0.000876647,-0.000347162,0.000125301,0.00124999,4.31E-05,-0.001684664,0.000878942,-0.001694948,0.002705003,-0.000899609,-0.000563801
-0.000658679,-0.000299578,-0.000287135,0.003007936,-0.00280895,-0.000787702,-0.000516085,-0.000681695,-0.002353018,-0.00069662,0.000227049,0.000831976,0.000887891,0.000423212,-0.000592083,0.001050425,-0.000136656,-0.000370583,-0.000899965,-0.001672498,-0.000499791,0.000777604,-0.001027097,-0.000301487,-0.000176993,-0.000355677,0.000234023,-0.001057755,0.002069374,0.000740969,0.000271719,-0.000592981,-0.001784638,-0.00056369,0.000108297,0.001913924,-0.001547328,-0.00079415,-0.001143857,0.001248813,0.000148228,0.000166261,0.000103716,-0.00094103,-0.00173382,9.43E-05,0.000895761,-0.002517436,-0.002471022,0.000115426
0.001236411,-9.73E-05,-0.000116925,0.000405469,-0.001563809,0.000935659,-0.001333432,0.002603154,-0.001621217,-0.000214769,-0.000504297,0.00109442,0.001149958,0.000596635,0.000909654,0.000852068,5.33E-05,-0.000937647,0.000918094,0.003536171,0.00016209,0.000759577,-0.001119444,0.001757726,-0.001986136,0.000755064,-0.000319093,-0.001004088,0.001866546,-0.001085043,0.000299572,0.000155939,0.000514332,0.002614956,0.001292074,0.000272547,-0.000215074,0.000476396,-0.000309744,0.000629224,-0.001901255,-0.002219932,0.001043712,-0.000505017,-0.001577991,-0.00190073,-0.000269301,0.000509993,0.001094729,-0.001808481
-0.000707662,-0.001528991,-0.000602919,0.001475394,-0.000361645,0.001758251,0.00158327,0.00076962,0.000278369,0.001664713,0.000989142,-0.00020332,0.002133895,0.000883331,0.001569565,-0.000560363,-0.003922101,0.001264419,-0.000312478,-0.000103619,0.000610354,0.001938713,-0.000793019,-0.001559707,-0.000688791,-0.001376449,0.001809992,-0.000307494,-0.000911309,-0.002255544,0.001842399,0.000637578,-0.000913846,0.000854029,0.001493177,0.000973506,0.000529486,-0.001314393,0.002396656,0.000431795,0.000601193,0.000101251,-0.002293285,0.003260601,-0.002566042,-0.000638523,0.000236489,-0.000675414,-0.002368895,-0.002288365
